OTU,Sample,Abundance,Sample_Name,PalmID,Especie,Estadio,Age_Group,Procedencia,Habitat,Region,FirstBM,TypeBM_Updated,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,SecondBM,ThirdBM,FourthBM,FifthBM,PCR_Results_121_122,PCR_Results_duplex_Trangeli,PCR_Results_duplex_Tcruzi,Coinfection,Infection_Type,SingleInf_Tcruzi,Kingdom,Phylum,Class,Order,Family,Genus,Species
b02a8d33d018119dedb2db15db887bfd,B5.P1,0.4077922077922078,19,CA1P17,R. pallescens,N4,N4_Adult,Capira,Pasture,Capira,Mus,Mammal,Mammal,Yes,Yes,No,No,Three,Human,Metachirus,NA,NA,Positive,Negative,Positive,No,Tcruzi,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,D9.P1,0.3983050847457627,49,CA7P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Philander,Mammal,Mix,Yes,Yes,Yes,No,Four,Other,Thraupis,Human,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,F4.P1,0.38235294117647056,68,CA11P17,R. pallescens,N2,N1_N3,Capira,Pasture,Capira,Other,Other,Other,No,No,No,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,H7.P1,0.37668161434977576,95,HN5,R. pallescens,N1,N1_N3,La Chorrera,Peridomestic,La Chorrera,Mus,Bird,Mix,Yes,Yes,Yes,No,Three,Human,Piranga,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,D5.P1,0.3720316622691293,43,CA3P17,R. pallescens,Adult,N4_Adult,Capira,Pasture,Capira,Philander,Mammal,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,Negative,Positive,Negative,No,Trangeli,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,B2.P1,0.3719512195121951,14,CC3,R. pallescens,N1,N1_N3,Cerro Cama,Pasture,La Chorrera,Human,Bird,Mix,Yes,Yes,Yes,No,Four,Piranga,Metachirus,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,H5.P1,0.3702970297029703,93,HN5,R. pallescens,N1,N1_N3,La Chorrera,Peridomestic,La Chorrera,Human,Bird,Mix,Yes,Yes,Yes,No,Three,Mus,Piranga,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,F2.P1,0.36996336996337,66,CA9P17,R. pallescens,N5,N4_Adult,Capira,Pasture,Capira,Mus,Mammal,Mammal,No,Yes,No,No,Two,Philander,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,C3.P1,0.3588516746411483,29,CA1P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Human,Mammal,Mammal,Yes,Yes,No,No,Two,Bos,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,C7.P1,0.3569230769230769,33,CA1P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Mus,Mus,Mammal,Yes,Yes,No,No,Two,Human,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A2.P1,0.35141509433962265,2,CC2,R. pallescens,Adult,N4_Adult,Cerro Cama,Pasture,La Chorrera,Piranga,Bird,Bird,No,No,Yes,No,One,NA,NA,NA,NA,Positive,Negative,Positive,No,Tcruzi,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A9.P1,0.3310502283105023,9,CC3,R. pallescens,N3,N1_N3,Cerro Cama,Pasture,La Chorrera,Thraupis,Bird,Bird,No,No,Yes,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A9.P3,0.3274021352313167,226,SF4,R. pallescens,N2,N1_N3,Veraguas,Pasture,Veraguas,Heteromys,Mammal,Mammal,No,Yes,No,No,Two,Metachirus,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,D3.P1,0.323943661971831,41,CA3P17,R. pallescens,N2,N1_N3,Capira,Pasture,Capira,Philander,Mammal,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A4.P1,0.321875,4,CC3,R. pallescens,N5,N4_Adult,Cerro Cama,Pasture,La Chorrera,Heteromys,Mammal,Mix,Yes,Yes,Yes,No,Three,Piranga,Human,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,G9.P2,0.3203463203463203,182,CHOR1P2,R. pallescens,N1,N1_N3,La Chorrera,Pasture,La Chorrera,Mus,Bird,Mix,No,Yes,Yes,No,Three,Thraupis,Odocoileus,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A7.P1,0.3157894736842105,7,CC3,R. pallescens,N4,N4_Adult,Cerro Cama,Pasture,La Chorrera,Human,Human,Mammal,Yes,Yes,No,No,Two,Mus,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,F9.P1,0.3129251700680272,73,CA11P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Human,Other,Mammal,Yes,Yes,No,No,Two,Other,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,E3.P1,0.2961165048543689,55,CA7P17,R. pallescens,N2,N1_N3,Capira,Pasture,Capira,Other,Other,Other,No,No,No,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,H12.P1,0.29577464788732394,101,HN5,R. pallescens,N3,N1_N3,La Chorrera,Peridomestic,La Chorrera,Piranga,Bird,Bird,No,No,Yes,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,H4.P1,0.29225352112676056,92,HN5,R. pallescens,N4,N4_Adult,La Chorrera,Peridomestic,La Chorrera,Piranga,Bird,Bird,No,No,Yes,Yes,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,C5.P1,0.2779552715654952,31,CA1P17,R. pallescens,N2,N1_N3,Capira,Pasture,Capira,Mus,Mus,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,Positive,Negative,Positive,No,Tcruzi,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A12.P1,0.27485380116959063,12,CC3,R. pallescens,N2,N1_N3,Cerro Cama,Pasture,La Chorrera,Mus,Mammal,Mammal,No,Yes,No,No,Two,Bos,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,H3.P1,0.2655172413793103,91,HN5,R. pallescens,N2,N1_N3,La Chorrera,Peridomestic,La Chorrera,Leopardus,Mammal,Mix,No,Yes,Yes,No,Two,Piranga,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,B3.P1,0.2610619469026549,15,CC3,R. pallescens,N1,N1_N3,Cerro Cama,Pasture,La Chorrera,Canis,Mammal,Mammal,Yes,Yes,No,No,Two,Human,NA,NA,NA,Negative,Positive,Positive,No,Trangeli,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,C11.P1,0.26006191950464397,37,CA3P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Philander,Mammal,Mammal,No,Yes,No,No,Two,Mus,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,B4.P1,0.2568306010928962,18,CA1P17,R. pallescens,Adult,N4_Adult,Capira,Pasture,Capira,Human,Human,Mammal,Yes,Yes,No,No,One,NA,NA,NA,NA,Negative,Negative,Positive,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,G2.P1,0.25668449197860965,78,LP3_Capira0317,R. pallescens,Adult,N4_Adult,Las Pavas,Peridomestic,La Chorrera,Philander,Mammal,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,Positive,Positive,Positive,Yes,Coinfection,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,H9.P1,0.2556179775280899,98,HN5,R. pallescens,N2,N1_N3,La Chorrera,Peridomestic,La Chorrera,Other,Other,Other,No,No,No,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A11.P1,0.25290697674418605,11,CC3,R. pallescens,N2,N1_N3,Cerro Cama,Pasture,La Chorrera,Human,Human,Mammal,Yes,Yes,No,No,Three,Mus,NA,NA,NA,Positive,Positive,Positive,Yes,Coinfection,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,F8.P1,0.24782608695652175,72,CA11P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Other,Other,Other,Yes,No,No,No,Three,Human,Philander,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,G7.P1,0.24019607843137256,83,HN11,R. pallescens,Adult,N4_Adult,La Chorrera,Peridomestic,La Chorrera,Mus,Mus,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,Positive,Negative,Positive,No,Tcruzi,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,C10.P1,0.23839009287925697,36,CA3P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Human,Other,Mammal,Yes,Yes,No,No,Three,Mus,Other,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,B9.P1,0.2358490566037736,23,CA1P17,R. pallescens,N2,N1_N3,Capira,Pasture,Capira,Human,Human,Mammal,Yes,Yes,No,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,E4.P1,0.23460410557184752,56,CA7P17,R. pallescens,N2,N1_N3,Capira,Pasture,Capira,Human,Other,Mammal,Yes,Yes,No,No,Three,Other,Mus,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,H11.P1,0.23460410557184752,100,HN5,R. pallescens,N2,N1_N3,La Chorrera,Peridomestic,La Chorrera,Human,Bird,Mix,Yes,Yes,Yes,No,Three,Mus,Piranga,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,G8.P1,0.23247232472324722,84,HN11,R. pallescens,N2,N1_N3,La Chorrera,Peridomestic,La Chorrera,Piranga,Bird,Mix,No,Yes,Yes,No,Four,Other,Mus,Philander,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A8.P1,0.228486646884273,8,CC3,R. pallescens,N3,N1_N3,Cerro Cama,Pasture,La Chorrera,Other,Other,Other,No,No,No,No,Three,Piranga,Thraupis,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,D9.P2,0.22777777777777777,145,CHOR1P3,R. pallescens,N4,N4_Adult,La Chorrera,Pasture,La Chorrera,Philander,Mammal,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,Positive,Negative,Positive,No,Tcruzi,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,B1.P2,0.22033898305084745,113,HN9,R. pallescens,N3,N1_N3,La Chorrera,Peridomestic,La Chorrera,Turdus,Bird,Mix,No,Yes,Yes,No,Two,Philander,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,H8.P1,0.21818181818181817,96,HN5,R. pallescens,N2,N1_N3,La Chorrera,Peridomestic,La Chorrera,Piranga,Bird,Bird,No,No,Yes,No,Two,Other,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,G1.P1,0.21768707482993196,77,LP3_Capira0317,R. pallescens,N3,N1_N3,Las Pavas,Peridomestic,La Chorrera,Human,Mammal,Mammal,Yes,Yes,No,No,Three,Philander,Mus,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,B10.P1,0.21232876712328766,24,CA1P17,R. pallescens,Adult,N4_Adult,Capira,Pasture,Capira,Mus,Other,Mammal,No,Yes,No,No,Two,Other,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,E6.P1,0.20216606498194944,58,CA7P17,R. pallescens,N5,N4_Adult,Capira,Pasture,Capira,Human,Other,Mammal,Yes,Yes,No,No,Two,Other,NA,NA,NA,Positive,Negative,Positive,No,Tcruzi,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A3.P1,0.2,3,CC2,R. pallescens,N3,N1_N3,Cerro Cama,Pasture,La Chorrera,Human,Bird,Mix,Yes,Yes,Yes,No,Three,Piranga,Other,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A2.P3,0.19956616052060738,219,SF3,R. pallescens,N5,N4_Adult,Veraguas,Pasture,Veraguas,Heteromys,Mammal,Mammal,Yes,Yes,No,No,Two,Human,NA,NA,NA,Positive,Negative,Positive,No,Tcruzi,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,B12.P1,0.19795221843003413,26,CA1P17,R. pallescens,N2,N1_N3,Capira,Pasture,Capira,Piranga,Bird,Mix,Yes,Yes,Yes,No,Four,Metachirus,Human,Mus,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,B8.P1,0.19618528610354224,22,CA1P17,R. pallescens,N2,N1_N3,Capira,Pasture,Capira,Other,Other,Other,Yes,No,No,No,Three,Human,Metachirus,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,G3.P1,0.1951219512195122,79,HN1,R. pallescens,N1,N1_N3,La Chorrera,Peridomestic,La Chorrera,Philander,Mammal,Mammal,Yes,Yes,No,No,Three,Human,Mus,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,F6.P1,0.1951219512195122,70,CA11P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Other,Other,Other,No,No,No,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A6.P1,0.19221967963386727,6,CC3,R. pallescens,N5,N4_Adult,Cerro Cama,Pasture,La Chorrera,Human,Other,Mammal,Yes,Yes,No,No,Three,Other,Potos,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,C1.P1,0.19133574007220217,27,CA1P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Human,Human,Mammal,Yes,Yes,No,No,Two,Mus,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,E7.P1,0.18944099378881987,59,CA7P17,R. pallescens,N5,N4_Adult,Capira,Pasture,Capira,Mus,Mus,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,Positive,Negative,Positive,No,Tcruzi,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,F7.P1,0.18857142857142858,71,CA11P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Mus,Other,Mammal,Yes,Yes,No,No,Four,Human,Other,Philander,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,G11.P1,0.1881720430107527,87,HN2,R. pallescens,N2,N1_N3,La Chorrera,Peridomestic,La Chorrera,Mus,Mammal,Mammal,No,Yes,No,No,Two,Philander,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,E1.P2,0.1875,149,CHOR1P3,R. pallescens,N5,N4_Adult,La Chorrera,Pasture,La Chorrera,Philander,Mammal,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,Positive,Negative,Positive,No,Tcruzi,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,H2.P3,0.18711018711018712,399,SF11,R. pallescens,N1,N1_N3,Veraguas,Peridomestic,Veraguas,Heteromys,Mammal,Mammal,Yes,Yes,No,No,Four,Human,Mus,Didelphis,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
