#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	Age_Group	New_Age_Group	SEXO	PROCEDENCIA	HABITAT	Region	FirstBM	TypeBM	HumanBM	MammalBM	BirdBM	ReptileBM	NumberBM	SecondBM	ThirdBM	FourthBM	FifthBM	TotalBM	PCR_RESULTS_121_122	SingleInf_Tcruzi	PCR_RESULTS_duplex_Trangeli	R1_R2_Results_1stRun	R1_R2_GelDate_1stRun	R1_R2_Results_2ndRun	R1_R2_GelDate_2ndRun	Consensus_R1R2_Results	SingleInf_Trangeli	PCR_RESULTS_duplex_Tcruzi	Coinfection	Infection_Type
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical				categorical	categorical	categorical	categorical
D7.P1	47	CA7P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Mus	Mammal	No	Yes	No	No	Two	Philander	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
D7.P2	143	CAM2P17	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Campana	Peridomestic	Capira	Philander	Mammal	No	Yes	No	No	Two	Tamandua	NA	NA	NA		Positive	Positive	Positive						Negative	Positive	Yes	Coinfection
D8.P1	48	CA7P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	No	No	No	No	Two	Philander	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
D9.P1	49	CA7P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Philander	Mix	Yes	Yes	Yes	No	Four	Other	Thraupis	Human	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
E1.P1	53	CA7P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	Yes	No	No	No	Three	Human	Mus	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
E10.P1	62	CA8P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	No	No	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
E11.P1	63	CA9P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Mus	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
E12.P1	64	CA9P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Other	Mix	No	Yes	Yes	No	Three	Mus	Piranga	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
E2.P1	54	CA7P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Mus	Mammal	Yes	Yes	No	No	Three	Human	Other	NA	NA		Positive	Positive	Positive	Negative	May-6-2022	Negative	May-27-2022		Negative	Negative	Yes	Coinfection
E3.P1	55	CA7P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	No	No	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
E4.P1	56	CA7P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Three	Other	Mus	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
E5.P1	57	CA7P17	R. pallescens	N5	N4_Adult	N3_Adult	NA	Capira	Pasture	Capira	Bos	Mammal	Yes	Yes	No	No	Three	Mus	Human	NA	NA		Positive	Positive	Negative	Negative	May-27-2022				Negative	Positive	No	Tcruzi
E6.P1	58	CA7P17	R. pallescens	N5	N4_Adult	N3_Adult	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Two	Other	NA	NA	NA		Positive	Positive	Negative	Negative	May-27-2022				Negative	Positive	No	Tcruzi
E7.P1	59	CA7P17	R. pallescens	N5	N4_Adult	N3_Adult	NA	Capira	Pasture	Capira	Mus	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Negative	Negative	May-27-2022				Negative	Positive	No	Tcruzi
E8.P1	60	CA8P17	R. pallescens	N4	N4_Adult	N3_Adult	NA	Capira	Pasture	Capira	Other	Other	No	No	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
E9.P1	61	CA8P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Four	Mus	Potos	Other	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
F1.P1	65	CA9P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Two	Potos	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
F2.P1	66	CA9P17	R. pallescens	N5	N4_Adult	N3_Adult	NA	Capira	Pasture	Capira	Mus	Mammal	No	Yes	No	No	Two	Philander	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
F3.P1	67	CA11P17	R. pallescens	N4	N4_Adult	N3_Adult	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
F4.P1	68	CA11P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	No	No	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
F5.P1	69	CA11P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	No	No	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
F6.P1	70	CA11P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	No	No	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
F7.P1	71	CA11P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Mus	Mammal	Yes	Yes	No	No	Four	Human	Other	Philander	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
F8.P1	72	CA11P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	Yes	No	No	No	Three	Human	Philander	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
F9.P1	73	CA11P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Two	Other	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
G12.P2	186	CAM1P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Campana	Peridomestic	Capira	Human	Mammal	Yes	Yes	No	No	Two	Mus	NA	NA	NA		Positive	Positive	Negative						Negative	Positive	No	Tcruzi
H1.P2	187	CAM2P17	R. pallescens	Adult	N4_Adult	N3_Adult	Female	Campana	Peridomestic	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Negative						Negative	Positive	No	Tcruzi
H2.P2	188	CAM2P17	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Campana	Peridomestic	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative						Negative	Negative	No	Negative
H3.P2	189	CAM2P17	R. pallescens	N2	N1_N3	N1_N2	NA	Campana	Peridomestic	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Negative						Negative	Negative	No	Tcruzi
H4.P2	190	CAM2P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Campana	Peridomestic	Capira	Human	Mammal	Yes	Yes	No	No	Two	Philander	NA	NA	NA		Negative	Negative	Negative						Negative	Negative	No	Negative
H5.P2	191	CAM2P17	R. pallescens	Adult	N4_Adult	N3_Adult	Female	Campana	Peridomestic	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Positive						Single	Negative	No	Trangeli
