#SampleID	Well_ID	Sequencing_PlateNumber	Sample_Name	CODIGO-CV	ESPECIE	ESTADIO	SEXO	PROCEDENCIA	HABITAT	DATE	Type of Molecular Analysis	Notes	sex	Dissections	Date of dissections	Date of Gut DNA extractions	Gut DNA 260/280 score	NUMBER	Gut DNA Concentration (ng/µL)	Date of Salivary DNA extractions	16S Sequencing	PCR_RESULTS_(121/122)	PCR_RESULTS_(duplex_Trangeli)	SingleInf_Tcruzi	SingleInf_Trangeli	Coinfection	PCR_RESULTS_(duplex_Tcruzi)	PCR_To_Redo
B2.P1	B2	Plate-1	14	CC3	R. pallescens	N1		Cerro Cama	Pasture	9/2/2017		Kaylee; exoskeleton with guts and some exoskeleton with salivary glands; bead sterilizer before guts and salivary glands		Guts and salivary glands	2/21/2018	3/28/2018	1.377	14	3.537	6/12/2018	Yes	Negative	Negative	Negative	Negative	No	Negative	
B3.P1	B3	Plate-1	15	CC3	R. pallescens	N1		Cerro Cama	Pasture	9/2/2017		Kaylee; exoskeleton with salivary glands; bead steriilzer before guts and salivary glands		Guts and salivary glands	2/21/2018	3/28/2018	1.442	15	5.442	6/12/2018	Yes	Negative	Positive	Negative	Single	No	Positive	
B4.P1	B4	Plate-1	18	CA1P17	R. pallescens	Adult	Male	Capira	Pasture	4/23/2017	CV-SIA	Photo taken of Adult; Nina; bead sterilizer before guts and salivary glands	Male	Guts and salivary glands	2/23/2018	3/29/2018	2.037	18	92.459	6/12/2018	Yes	Negative	Negative	Negative	Negative	No	Positive	
B5.P1	B5	Plate-1	19	CA1P17	R. pallescens	N4		Capira	Pasture	4/23/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands		Guts and salivary glands	2/23/2018	3/29/2018	1.828	19	25.35	6/12/2018	Yes	Positive	Negative	Single	Negative	No	Positive	
B6.P1	B6	Plate-1	20	CA1P17	R. pallescens	N3		Capira	Pasture	4/23/2017	CV-SIA	Kaylee; dark guts; flamed tools before guts; salivary not for microbiome		Guts and salivary glands	3/22/2018	5/1/2018		20			Yes	Negative	Negative	Negative	Negative	No	Positive	
B7.P1	B7	Plate-1	21	CA1P17	R. pallescens	N3		Capira	Pasture	4/24/2017	CV-SIA	Kaylee; salivary glands with some exoskeleton; tools flamed before guts; salivary not for microbiome		Guts and salivary glands	3/22/2018	5/1/2018		21			Yes	Positive	Negative	Single	Negative	No	Negative	
B8.P1	B8	Plate-1	22	CA1P17	R. pallescens	N2		Capira	Pasture	4/24/2017	CV-SIA	Kaylee; tools flamed before guts; salivary not for microbiome		Guts and salivary glands	3/22/2018	5/1/2018		22			Yes	Negative	Negative	Negative	Negative	No	Negative	
B9.P1	B9	Plate-1	23	CA1P17	R. pallescens	N2		Capira	Pasture	4/24/2017	CV-SIA	Kaylee; salivary glands with some exoskeleton; tools flamed before guts; salivary not for microbiome		Guts and salivary glands	3/22/2018	5/1/2018		23			Yes	Negative	Negative	Negative	Negative	No	Negative	
B10.P1	B10	Plate-1	24	CA1P17	R. pallescens	Adult	Female	Capira	Pasture	4/25/2017	CV-SIA	Photo taken of Adult; Kaylee; autoclaved before guts, bead sterilizer before salivary glands	Female	Guts and salivary glands	3/1/2018	3/29/2018	2.042	24	579.758	6/12/2018	Yes	Negative	Negative	Negative	Negative	No	Negative	
B11.P1	B11	Plate-1	25	CA1P17	R. pallescens	N3		Capira	Pasture	4/25/2017	CV-SIA	Kaylee; tools flamed before guts; salivary not for microbiome		Guts and salivary glands	3/22/2018	5/1/2018		25			Yes	Positive	Negative	Single	Negative	No	Positive	
B12.P1	B12	Plate-1	26	CA1P17	R. pallescens	N2		Capira	Pasture	4/25/2017	CV-SIA	Kaylee; engorged, guts with exoskeleton, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivaray glands not for microbiome		Guts and salivary glands	5/6/2018	5/14/2018		26			Yes	Negative	Negative	Negative	Negative	No	Negative	
C1.P1	C1	Plate-1	27	CA1P17	R. pallescens	N1		Capira	Pasture	4/25/2017	CV-SIA	Kaylee; guts with exoskeleton, salivary tissue with exoskeleoton, no head or legs; tools flamed before gust, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/14/2018		27			Yes	Negative	Negative	Negative	Negative	No	Negative	
C2.P1	C2	Plate-1	28	CA1P17	R. pallescens	N1		Capira	Pasture	4/25/2017	CV-SIA	Kaylee; guts with exoskeleton, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/6/2018	5/14/2018		28			Yes	Negative	Negative	Negative	Negative	No	Negative	
C3.P1	C3	Plate-1	29	CA1P17	R. pallescens	N1		Capira	Pasture	4/25/2017	CV-SIA	Kaylee; guts with exoskeleton, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/2/2018	5/14/2018		29			Yes	Negative	Negative	Negative	Negative	No	Negative	
C4.P1	C4	Plate-1	30	CA1P17	R. pallescens	N5		Capira	Pasture	4/26/2017	CV-SIA	Nina; salivary not for microbiome		Guts and salivary glands	3/8/2018	4/2/2018	1.953	30	59.282		Yes	Negative	Negative	Negative	Negative	No	Negative	
C5.P1	C5	Plate-1	31	CA1P17	R. pallescens	N2		Capira	Pasture	4/26/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivaray glands not for microbiome		Guts and salivary glands	5/5/2018			31			Yes	Positive	Negative	Single	Negative	No	Positive	
C6.P1	C6	Plate-1	32	CA1P17	R. pallescens	N2		Capira	Pasture	4/26/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivaray glands not for microbiome		Guts and salivary glands	5/5/2018	5/14/2018		32			Yes	Negative	Negative	Negative	Negative	No	Negative	
C7.P1	C7	Plate-1	33	CA1P17	R. pallescens	N1		Capira	Pasture	4/26/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivaray glands not for microbiome		Guts and salivary glands	5/5/2018	5/14/2018		33			Yes	Negative	Negative	Negative	Negative	No	Negative	
C8.P1	C8	Plate-1	34	CA3P17	R. pallescens	N2		Capira	Pasture	4/23/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/4/2018	5/14/2018		34			Yes	Negative	Negative	Negative	Negative	No	Negative	
C9.P1	C9	Plate-1	35	CA3P17	R. pallescens	N3		Capira	Pasture	4/23/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue; tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/6/2018	5/14/2018		35			Yes	Negative	Negative	Negative	Negative	No	Negative	
C10.P1	C10	Plate-1	36	CA3P17	R. pallescens	N1		Capira	Pasture	4/23/2017	CV-SIA	Kaylee; guts, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/5/2018	5/14/2018		36			Yes	Negative	Negative	Negative	Negative	No	Negative	
C11.P1	C11	Plate-1	37	CA3P17	R. pallescens	N1		Capira	Pasture	4/23/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivaray glands not for microbiome		Guts and salivary glands	5/6/2018	5/14/2018		37			Yes	Negative	Negative	Negative	Negative	No	Negative	
C12.P1	C12	Plate-1	38	CA3P17	R. pallescens	N1		Capira	Pasture	4/23/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/2/2018	5/15/2018		38			Yes	Negative	Negative	Negative	Negative	No	Negative	
D1.P1	D1	Plate-1	39	CA3P17	R. pallescens	N1		Capira	Pasture	4/23/2017	CV-SIA	Kaylee; guts with exoskeleton, salivary tissue with exoskeleoton, no head or legs; tools flamed before gust, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/15/2018		39			Yes	Negative	Negative	Negative	Negative	No	Negative	
D2.P1	D2	Plate-1	40	CA3P17	R. pallescens	N1		Capira	Pasture	4/23/2017	CV-SIA	Kaylee; guts with exoskeleton, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/5/2018	5/15/2018		40			Yes	Negative	Negative	Negative	Negative	No	Negative	
D3.P1	D3	Plate-1	41	CA3P17	R. pallescens	N2		Capira	Pasture	4/23/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivaray glands not for microbiome		Guts and salivary glands	5/2/2018	5/15/2018		41			Yes	Negative	Negative	Negative	Negative	No	Negative	
D4.P1	D4	Plate-1	42	CA3P17	R. pallescens	N2		Capira	Pasture	4/23/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/7/2018	5/21/2018		42			Yes	Negative	Negative	Negative	Negative	No	Negative	
D5.P1	D5	Plate-1	43	CA3P17	R. pallescens	Adult	Male	Capira	Pasture	4/25/2017	CV-SIA	Kaylee; guts, salivary tissue; tools flamed before guts, salivary glands not for microbiome	Male	Guts and salivary glands	5/7/2018	5/21/2018		43			Yes	Negative	Positive	Negative	Single	No	Negative	
D6.P1	D6	Plate-1	44	CA3P17	R. pallescens	N3		Capira	Pasture	4/25/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue; tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/5/2018	5/21/2018		44			Yes	Negative	Negative	Negative	Negative	No	Negative	
A1.P2	A1	Plate-2	45	CA2P16	R. pallescens	Adult												45			Yes	Positive	Negative	Single	Negative	No	Positive	
D7.P1	D7	Plate-1	47	CA7P17	R. pallescens	N1		Capira	Pasture	3/30/2017		Kaylee; guts, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/6/2018	5/22/2018		47			Yes	Negative	Negative	Negative	Negative	No	Negative	
D8.P1	D8	Plate-1	48	CA7P17	R. pallescens	N1		Capira	Pasture	3/30/2017		Kaylee; guts, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/5/2018	5/22/2018		48			Yes	Negative	Negative	Negative	Negative	No	Negative	
D9.P1	D9	Plate-1	49	CA7P17	R. pallescens	N1		Capira	Pasture	3/30/2017		Kaylee; guts with exoskeleton, salivary tissue with exoskeleoton, no head or legs; tools flamed before gust, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/22/2018		49			Yes	Negative	Negative	Negative	Negative	No	Negative	
D10.P1	D10	Plate-1	50	CA7P17	R. pallescens	N1		Capira	Pasture	3/30/2017		Kaylee; guts with exoskeleton, salivary tissue with exoskeleoton, no head or legs; tools flamed before gust, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/22/2018		50			Yes	Negative	Negative	Negative	Negative	No	Negative	
D11.P1	D11	Plate-1	51	CA7P17	R. pallescens	N1		Capira	Pasture	3/30/2017		Kaylee; guts, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/4/2018	5/22/2018		51			Yes	Negative	Negative	Negative	Negative	No	Negative	
D12.P1	D12	Plate-1	52	CA7P17	R. pallescens	N1		Capira	Pasture	3/30/2017		Kaylee; guts with exoskeleton, salivary tissue with exoskeleoton, no head or legs; tools flamed before gust, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/22/2018		52			Yes	Negative	Negative	Negative	Negative	No	Negative	
E1.P1	E1	Plate-1	53	CA7P17	R. pallescens	N2		Capira	Pasture	3/30/2017		Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivaray glands not for microbiome		Guts and salivary glands	5/6/2018	5/22/2018		53			Yes	Negative	Negative	Negative	Negative	No	Negative	
E2.P1	E2	Plate-1	54	CA7P17	R. pallescens	N2		Capira	Pasture	3/30/2017		Kaylee; guts, salivary tissue; tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/5/2018	5/23/2018		54			Yes	Positive	Positive	Negative	Negative	Yes	Negative	
E3.P1	E3	Plate-1	55	CA7P17	R. pallescens	N2		Capira	Pasture	3/30/2017		Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivaray glands not for microbiome		Guts and salivary glands	5/5/2018	5/23/2018		55			Yes	Negative	Negative	Negative	Negative	No	Negative	
E4.P1	E4	Plate-1	56	CA7P17	R. pallescens	N2		Capira	Pasture	3/30/2017		Kaylee; guts with exoskeleton, salivary tissue with exoskeleoton, no head or legs; tools flamed before gust, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/23/2018		56			Yes	Negative	Negative	Negative	Negative	No	Negative	
E5.P1	E5	Plate-1	57	CA7P17	R. pallescens	N5		Capira	Pasture	3/30/2017		Nina; autoclaved before guts, bead sterilizer before salivary glands		Guts and salivary glands	2/19/2018	3/31/2018	1.984	57	150.167		Yes	Positive	Negative	Single	Negative	No	Positive	
E6.P1	E6	Plate-1	58	CA7P17	R. pallescens	N5		Capira	Pasture	3/30/2017		Nina; bead sterilizer before guts and salivary glands; little salivary tissue recovered		Guts and salivary glands	2/19/2018	3/31/2018	1.823	58	37.314	6/12/2018	Yes	Positive	Negative	Single	Negative	No	Positive	
E7.P1	E7	Plate-1	59	CA7P17	R. pallescens	N5		Capira	Pasture	3/30/2017		Nina; bead sterilizer before guts and salivary glands; little salivary tissue recovered		Guts and salivary glands	2/19/2018	3/29/2018	1.954	59	22.696	6/12/2018	Yes	Positive	Negative	Single	Negative	No	Positive	
E8.P1	E8	Plate-1	60	CA8P17	R. pallescens	N4		Capira	Pasture	6/17/2017		Nina; engorged; bead sterilizer before guts and salivary glands		Guts only	2/19/2018	3/29/2018	2.125	60	58.168	6/12/2018	Yes	Negative	Negative	Negative	Negative	No	Negative	
E9.P1	E9	Plate-1	61	CA8P17	R. pallescens	N1		Capira	Pasture	6/18/2017		Kaylee; guts, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/2/2018	5/23/2018		61			Yes	Negative	Negative	Negative	Negative	No	Negative	
E10.P1	E10	Plate-1	62	CA8P17	R. pallescens	N2		Capira	Pasture	6/18/2017		Kaylee; engorged, guts with exoskeleton, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivaray glands not for microbiome		Guts and salivary glands	5/5/2018	5/23/2018		62			Yes	Negative	Negative	Negative	Negative	No	Negative	
E11.P1	E11	Plate-1	63	CA9P17	R. pallescens	N3		Capira	Pasture	6/25/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue; tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/14/2018	5/23/2018		63			Yes	Negative	Negative	Negative	Negative	No	Negative	
E12.P1	E12	Plate-1	64	CA9P17	R. pallescens	N3		Capira	Pasture	6/19/2017	CV-SIA	Kaylee; guts with exoskeleton, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/9/2018	5/23/2018		64			Yes	Negative	Negative	Negative	Negative	No	Negative	
F1.P1	F1	Plate-1	65	CA9P17	R. pallescens	N3		Capira	Pasture	6/19/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue; tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/8/2018	5/23/2018		65			Yes	Negative	Negative	Negative	Negative	No	Negative	
F2.P1	F2	Plate-1	66	CA9P17	R. pallescens	N5		Capira	Pasture	6/19/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue with exoskeleton; tools flamed before guts, salivary tissue not for microbiome		Guts and salivary glands	5/8/2018	5/23/2018		66			Yes	Negative	Negative	Negative	Negative	No	Negative	
F3.P1	F3	Plate-1	67	CA11P17	R. pallescens	N4		Capira	Pasture	6/17/2017	CV-SIA	Nina; salivary not for microbiome		Guts and salivary glands	3/8/2018	4/2/2018	2.03	67	162.774		Yes	Negative	Negative	Negative	Negative	No	Negative	
F4.P1	F4	Plate-1	68	CA11P17	R. pallescens	N2		Capira	Pasture	6/17/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/8/2018	5/23/2018		68			Yes	Negative	Negative	Negative	Negative	No	Negative	
F5.P1	F5	Plate-1	69	CA11P17	R. pallescens	N2		Capira	Pasture	6/19/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue; tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/8/2018	5/23/2018		69			Yes	Negative	Negative	Negative	Negative	No	Negative	
F6.P1	F6	Plate-1	70	CA11P17	R. pallescens	N1		Capira	Pasture	6/19/2017	CV-SIA	Kaylee, engorged, guts, salivary tissue (little tissue), tools flamed before guts, salivary tissue not for microbiome		Guts and salivary glands	5/8/2018	5/23/2018		70			Yes	Negative	Negative	Negative	Negative	No	Negative	
F7.P1	F7	Plate-1	71	CA11P17	R. pallescens	N1		Capira	Pasture	6/18/2017	CV-SIA	Kaylee; guts (little gut tissue), salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/10/2018	5/23/2018		71			Yes	Negative	Negative	Negative	Negative	No	Negative	
F8.P1	F8	Plate-1	72	CA11P17	R. pallescens	N1		Capira	Pasture	6/18/2017	CV-SIA	Kaylee; guts, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary glands not for microbiome		Guts and salivary glands	5/9/2018	5/23/2018		72			Yes	Negative	Negative	Negative	Negative	No	Negative	
F9.P1	F9	Plate-1	73	CA11P17	R. pallescens	N1		Capira	Pasture	6/18/2017	CV-SIA	Kaylee; guts with exoskeleton, salivary tissue with exoskeleoton, no head or legs; tools flamed before gust, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/23/2018		73			Yes	Negative	Negative	Negative	Negative	No	Negative	
F10.P1	F10	Plate-1	74	Las Pavas	R. pallescens	N3		Las Pavas	Peridomestic	NA		Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/23/2018		74			Yes	Negative	Negative	Negative	Negative	No	Negative	
F11.P1	F11	Plate-1	75	LP#2, Capira0217	R. pallescens	Adult		Las Pavas	Peridomestic	9/9/2017	CV-SIA	Nina; eggs; autoclaved before guts, bead sterilizer before salivary glands	female	Guts and salivary glands	2/20/2018	4/2/2018		75			Yes	Positive	Positive	Negative	Negative	Yes	Positive	
F12.P1	F12	Plate-1	76	LP#2, Capira0217	R. pallescens	N3		Las Pavas	Peridomestic	7/29/2017	CV-SIA	Nina; (dissected twice) Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome		Guts and salivary glands	2/20/2018 & 5/10/2018	5/23/2018		76			Yes	Negative	Positive	Negative	Single	No	Negative	
G1.P1	G1	Plate-1	77	LP#3, Capira0317	R. pallescens	N3		Las Pavas	Peridomestic	7/29/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/10/2018	5/23/2018		77			Yes	Negative	Negative	Negative	Negative	No	Negative	
G2.P1	G2	Plate-1	78	LP#3, Capira0317	R. pallescens	Adult		Las Pavas	Peridomestic	9/9/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands		Guts and Salivary glands		4/2/2018	2.042	78	101.599		Yes	Positive	Positive	Negative	Negative	Yes	Positive	
G3.P1	G3	Plate-1	79	HN1	R. pallescens	N1		La Chorrera	Peridomestic	6/27/2017		Kaylee; guts, salivary tissue with exoskeleton (no head, no legs), tools flamed before guts, salivary gland not for microbiome		Guts and Salivary glands	5/10/2018	5/23/2018		79			Yes	Negative	Negative	Negative	Negative	No	Negative	
G4.P1	G4	Plate-1	80	HN1	T. dimidiata	N4		La Chorrera	Peridomestic	6/27/2017		Nina; autoclaved before guts, salivary not for microbiome		Guts and Salivary glands	3/20/2018	5/1/2018		80			Yes	Positive	Negative	Single	Negative	No	Positive	
G5.P1	G5	Plate-1	81	HN7	R. pallescens	Adult		La Chorrera	Peridomestic	6/26/2017		Nina; eggs; bead sterilizer before guts and salivary glands	Female	Guts and Salivary glands	2/12/2018	4/2/2018	2.007	81	132.722		Yes	Positive	Positive	Negative	Negative	Yes	Positive	
G6.P1	G6	Plate-1	82	HN10	R. pallescens	N2		La Chorrera	Peridomestic	6/17/2017		Kaylee; guts, salivary tissue with exoskeleton (no head, no legs), tools flamed before guts, salivary gland not for microbiome		Guts and Salivary Glands	5/14/2018	5/23/2018		82			Yes	Negative	Negative	Negative	Negative	No	Negative	
G7.P1	G7	Plate-1	83	HN11	R. pallescens	Adult	Female	La Chorrera	Peridomestic	7/20/2017		Nina; autoclaved before guts, bead sterilizer before salivary glands; Eggs recoverd, placed in EtOH in -20	Female	Guts and Salivary Glands	2/8/2018	3/31/2018	1.789	83	266.619		Yes	Positive	Negative	Single	Negative	No	Positive	
G8.P1	G8	Plate-1	84	HN11	R. pallescens	N2		La Chorrera	Peridomestic	7/20/2017		Kaylee; guts, salivary tissue; tools flamed before guts, sal tissue not for microbiome		Guts and Salivary glands	5/14/2018	5/23/2018		84			Yes	Negative	Negative	Negative	Negative	No	Negative	
G9.P1	G9	Plate-1	85	HN2	R. pallescens	N1		La Chorrera	Peridomestic	6/25/2017		Kaylee; guts with exoskeleton, salivary tissue with exoskeleoton, no head or legs; tools flamed before gust, salivary tissue not for microbiome		Guts and Salivary glands	5/14/2018	5/23/2018		85			Yes	Negative	Negative	Negative	Negative	No	Negative	
G10.P1	G10	Plate-1	86	HN2	R. pallescens	N1		La Chorrera	Peridomestic	6/25/2017		Kaylee; guts, salivary tissue with exoskeleton (no head, no legs), tools flamed before guts, salivary gland not for microbiome		Guts and Salivary glands	5/14/2018	5/23/2018		86			Yes	Negative	Negative	Negative	Negative	No	Negative	
G11.P1	G11	Plate-1	87	HN2	R. pallescens	N2		La Chorrera	Peridomestic	6/26/2017		Kaylee; guts, salivary tissue; tools flamed before guts, sal tissue not for microbiome		Guts and Salivary	5/9/2018	5/23/2018		87			Yes	Negative	Negative	Negative	Negative	No	Negative	
G12.P1	G12	Plate-1	88	HN5	R. pallescens	N1		La Chorrera	Peridomestic	6/25/2017		Kaylee; guts with exoskeleton, salivary tissue with exoskeleoton, no head or legs; tools flamed before gust, salivary tissue not for microbiome		Guts and Salivary glands	5/7/2018	5/23/2018		88			Yes	Negative	Negative	Negative	Negative	No	Negative	
H1.P1	H1	Plate-1	89	HN5	R. pallescens	N2		La Chorrera	Peridomestic	6/25/2017		Kaylee; guts, salivary tissues with exoskeleton (no head or legs); tools flamed before guts, sal tissue not for microbiome		Guts and Salivary glands	5/9/2018	5/23/2018		89			Yes	Negative	Negative	Negative	Negative	No	Negative	
H2.P1	H2	Plate-1	90	HN5	R. pallescens	N2		La Chorrera	Peridomestic	6/25/2017		Kaylee; guts, salivary tissues with exoskeleton (no head or legs); tools flamed before guts, sal tissue not for microbiome		Guts and Salivary glands	5/8/2018	5/23/2018		90			Yes	Negative	Negative	Negative	Negative	No	Negative	
H3.P1	H3	Plate-1	91	HN5	R. pallescens	N2		La Chorrera	Peridomestic	6/25/2017				Gut and salivary glands	11/21/2017	3/31/2018	1.933	91	4.233		Yes	Negative	Negative	Negative	Negative	No	Negative	
H4.P1	H4	Plate-1	92	HN5	R. pallescens	N4		La Chorrera	Peridomestic	6/25/2017				Gut and salivary glands	11/21/2017	3/31/2018	1.807	92	15.204		Yes	Negative	Negative	Negative	Negative	No	Negative	
