#SampleID	Well_ID	Sequencing_PlateNumber	Sample_Name	PalmID	ESPECIE	ESTADIO	SEXO	PROCEDENCIA	HABITAT	Region	DATE	Type of Molecular Analysis	Notes	sex	Dissections	Date of dissections	Date of Gut DNA extractions	Gut DNA 260_280 score	NUMBER	Gut DNA Concentration ng/µL	Date of Salivary DNA extractions	TypeBM	HumanBM	NumberBM	1stBM	2ndBM	3rdBM	4thBM	5thBM	16S Sequencing	SingleInf_Tcruzi	PCR_RESULTS_121_122	PCR_RESULTS_duplex_Trangeli	Coinfection	PCR_RESULTS_duplex_Tcruzi	SingleInf_Trangeli	Infection	PCR_To_Redo	Duplex PCR date	121_122 PCR date
A4.P3	A4	Plate-3	221	SF3	R. pallescens	N3		Veraguas	Pasture	Veraguas	7/9/2017		Kaylee; guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, sal tissue not for microbiome		Guts and sailvary glands	5/18/2018	5/25/2018		221			Mammal	Yes	Four	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Other		Yes	Negative	Negative	Negative	No	Negative		Negative			
A5.P3	A5	Plate-3	222	SF3	R. pallescens	N2		Veraguas	Pasture	Veraguas	7/9/2017		Kaylee; guts, salivary tissue, tools flamed before guts, sal tissue not for microbiome		Guts and salivary glands	5/16/2018	5/25/2018		222			Mammal	Yes	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Primate;Hominidae;Homo;sapiens			Yes	Negative	Negative	Negative	No	Negative		Negative			
A6.P3	A6	Plate-3	223	SF3	R. pallescens	N1		Veraguas	Pasture	Veraguas	7/9/2017		Kaylee; guts, no salivary tissue; abdomen ripped (previously dissected?), tools flamed before guts		Guts	5/21/2018	5/25/2018		223			Mammal	Yes	Four	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Didelphimorpha;Didelphidae;Metachirus;nudicaudatus	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis		Yes	Negative	Negative	Negative	No	Negative		Negative			
A7.P3	A7	Plate-3	224	SF4	R. pallescens	N4		Veraguas	Pasture	Veraguas	7/9/2017		Kaylee; engorged, guts, salivary tissue; flamed tools before guts and sal tissue		Guts and sailvary glands	5/22/2018	5/25/2018		224			Mammal	No	Two	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis				Yes	Negative	Negative	Negative	No	Negative		Negative			
A8.P3	A8	Plate-3	225	SF4	R. pallescens	N2		Veraguas	Pasture	Veraguas	7/9/2017		Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue		Guts and sailvary glands	5/21/2018	5/25/2018		225			Mammal_Bird	Yes	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens	Aves;Passeriformes;Thraupidae;Thraupis;sayaca			Yes	Negative	Negative	Negative	No	Negative		Negative			
A9.P3	A9	Plate-3	226	SF4	R. pallescens	N2		Veraguas	Pasture	Veraguas	7/9/2017		Kaylee; engorged; guts, salivary tissue, flamed tools before guts and salivary tissue		Guts and sailvary glands	5/22/2018	5/25/2018		226			Mammal	No	Two	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Metachirus;nudicaudatus				Yes	Negative	Negative	Negative	No	Negative		Negative			
A10.P3	A10	Plate-3	227	SF4	R. pallescens	N2		Veraguas	Pasture	Veraguas	7/9/2017		Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue		Guts and sailvary glands	5/18/2018	5/25/2018		227			Mammal	No	Two	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Carnivora;Felidae;Leopardus;wiedii				Yes	Single	Positive	Negative	No	Negative		Tcruzi			
A11.P3	A11	Plate-3	228	SF4	R. pallescens	N1		Veraguas	Pasture	Veraguas	7/9/2017		Kaylee; guts with exoskeleton (no legs), salivary tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome		Guts and sailvary glands	4/10/2018	5/25/2018		228			Mammal	Yes	Two	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens				Yes	Single	Positive	Negative	No	Negative		Tcruzi			
.P3			229	SF6	R. pallescens	N5		Veraguas	Pasture	Veraguas	7/9/2017		Nina; molt? Could not dissect		Nothing extracted		N/A		229			N/A	N/A	N/A	N/A					No	N/A	N/A	N/A	N/A			Negative			
A12.P3	A12	Plate-3	235	SF9	R. pallescens	Adult		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Nina; eggs (in tube) dissection; bead sterilizer before guts, salivary tissue not for microbiome	female	Guts and salivary glands	3/5/2018	4/4/2018	2.061	235	25.094		Mammal	Yes	Four	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Aves;Passeriformes;Thraupidae;Thraupis;sayaca		Yes	Single	Positive		N/A			Tcruzi			
B1.P3	B1	Plate-3	236	SF9	R. pallescens	Adult		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Nina; eggs (in tube); black guts; bead sterilizer before guts, salivary tissue not for microbiome	Female	Guts and salivary glands	3/5/2018	4/4/2018	1.719	236	75.795		Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis					Yes	Single	Positive	Positive	yes	negative		Coinfection			
B2.P3	B2	Plate-3	237	SF9	R. pallescens	Adult	male	Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Kaylee; engorged; flamed tools before guts, salivary tissue not for microbiome	male	Guts and salivary glands	4/5/2018	5/25/2018		237			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Single	Positive	Negative	No	negative		Tcruzi			
B3.P3	B3	Plate-3	238	SF9	R. pallescens	Adult		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Kaylee; guts, salivary tissue, eggs collected in EtOH, autoclaved tools before guts and flamed tools before salivary tissue	female	Guts and Salivary Glands	5/22/2018	5/28/2018		238			Mammal	No	Two	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis				Yes	Single	Positive	Positive	yes	positive		Coinfection			
B4.P3	B4	Plate-3	239	SF9	R. pallescens	N4		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Nina; engorged; flamed tools before guts; salivary not for microbiome		Gut and salivary glands	3/20/2018	4/4/2018	2.002	239	194.698		Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis					Yes	Single	Positive	Positive	yes	negative		Coinfection			
B5.P3	B5	Plate-3	240	SF9	R. pallescens	N5		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Nina; flamed tools before guts; salivary not for microbiome		Gut and salivary glands	3/20/2018	3/20/2018		240			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis					Yes	Single	Positive	Positive	yes	negative		Coinfection			
B6.P3	B6	Plate-3	241	SF9	R. pallescens	N3		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Kaylee; engorged; flamed tools before guts, salivary tissue not for microbiome		Guts and salivary glands	4/10/2018	4/11/2018		241			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis					Yes	Single	Positive		N/A			Tcruzi			
B7.P3	B7	Plate-3	242	SF9	R. pallescens	N3		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Kaylee; autoclaved tools before gut dissection, salivary tissue not for microbiome; salivary tissue with exoskeleton (no head or legs)		Guts and salivary glands	4/10/2018	4/11/2018		242			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Single	Positive	Positive	yes	positive		Coinfection			
B8.P3	B8	Plate-3	243	SF9	R. pallescens	N3		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue		Guts and salivary glands	5/28/2018	5/28/2018		243			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Single	Positive	Negative	No	positive		Tcruzi			
B9.P3	B9	Plate-3	244	SF9	R. pallescens	N3		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Kaylee; very small; guts with exoskeleton (no legs), salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and sailvary glands	4/10/2018	4/11/2018		244			Mammal	Yes	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Primate;Hominidae;Homo;sapiens			Yes	Single	Positive	Negative	No	positive		Tcruzi			
B10.P3	B10	Plate-3	255	SF9	T. dimidiata	Adult		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, flamed tools before guts and slaivary tissue	male	Guts and sailvary glands	5/22/2018	5/28/2018		255			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis					Yes	Single	Positive	Negative	No	positive		Tcruzi			
B11.P3	B11	Plate-3	256	SF9	T. dimidiata	N4		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue; engorged		Guts and Salivary Glands	5/22/2018	5/28/2018		256			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Single	Positive	Negative	No	positive		Tcruzi			
B12.P3	B12	Plate-3	257	SF9	T. dimidiata	Adult		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, flamed tools before guts and salivary tissue	Male	Guts and sailvary glands	5/22/2018	5/28/2018		257			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis					Yes	Single	Positive	Negative	No	positive		Tcruzi			
C1.P3	C1	Plate-3	258	SF9	T. dimidiata	Adult		Veraguas	Pasture	Veraguas	7/9/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, eggs collected in buffer, flamed tools before guts and salivary tissue	Female	Guts and sailvary glands	5/22/2018	5/28/2018		258			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Single	Positive	Negative	No	positive		Tcruzi			
C2.P3	C2	Plate-3	259	SF10	R. pallescens	Adult	male	Veraguas	Forest	Veraguas	7/10/2017	CV-SIA	Nina; autoclaved tools before guts, salivary tissue not for microbiome	male	Guts and salivary glands	4/10/2018	4/10/2018		259			Mammal	Yes	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens	Aves;Passeriformes;Thraupidae;Thraupis;sayaca			Yes	Single	Positive		N/A			Tcruzi			
C3.P3	C3	Plate-3	260	SF10	R. pallescens	Adult		Veraguas	Forest	Veraguas	7/10/2017	CV-SIA	Nina; engorged; eggs; tools disinfected with sproicidin before guts, salivary tissue not for microbiome	female	Guts and salivary glands	3/5/2018	4/4/2018	1.906	260	54.461		Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Single	Positive		N/A			Tcruzi			
C4.P3	C4	Plate-3	261	SF10	R. pallescens	Adult	female	Veraguas	Forest	Veraguas	7/10/2017	CV-SIA	Kaylee; flamed tools before guts, salivary tissue not for microobiome	female	Guts and sailvary glands	4/10/2018	5/28/2018		261			Mammal_Bird	No	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Aves;Passeriformes;Thraupidae;Thraupis;sayaca			Yes	Single	Positive	Negative	No	positive		Tcruzi			
C5.P3	C5	Plate-3	262	SF10	R. pallescens	N5		Veraguas	Forest	Veraguas	7/10/2017	CV-SIA	Nina; engorged; dark guts; bead sterilizer before guts, salvary tissue not for microbiome		Guts and salivary glands	3/5/2018	4/13/2018		262			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Single	Positive	Positive	yes	positive		Coinfection			
C6.P3	C6	Plate-3	263	SF10	R. pallescens	N5		Veraguas	Forest	Veraguas	7/10/2017	CV-SIA	Kaylee; autoclaved tools before gut dissection, sal not for microbiome		Gut and salivary glands	4/5/2018	5/28/2018		263			Mammal	Yes	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis			Yes	Single	Positive	Negative	No	positive		Tcruzi			
C7.P3	C7	Plate-3	264	SF10	R. pallescens	N5		Veraguas	Forest	Veraguas	7/10/2017	CV-SIA	Nina; small bug also came out, still in original tube; salivary not for microbiome		Gut and salivary glands	3/8/2018	4/13/2018		264			Mammal	Yes	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis			Yes	Single	Positive	Negative	No	positive		Tcruzi			
C8.P3	C8	Plate-3	264.5	SF10	R. pallescens	N1		Veraguas	Forest	Veraguas	7/10/2017		Kaylee; guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts, sal tissue not for microbiome		Gut and salivary glands	5/22/2018	5/28/2018					Mammal	Yes	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Primate;Hominidae;Homo;sapiens			Yes	Negative	Negative	Positive	No	negative		Trangeli			
C9.P3	C9	Plate-3	265	SF10	R. pallescens	N4		Veraguas	Forest	Veraguas	7/10/2017	CV-SIA	Kaylee; little salivary tissue; flamed tools before guts, salivary tissue not for microbiome		Guts and sailvary glands	4/10/2018	5/28/2018		265			Mammal	No	Two	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis				Yes	Single	Positive	negative	No	positive		Tcruzi			
C10.P3	C10	Plate-3	266	SF10	R. pallescens	N3		Veraguas	Forest	Veraguas	7/10/2017	CV-SIA	Kaylee; salivary tissue with exoskeleton (no head or legs), flamed tools before guts, salivary tissue not for microbiome		Guts and sailvary glands	4/10/2018	5/28/2018		266			Mammal	No	Two	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis				Yes	Single	Positive	negative	No	positive		Tcruzi			
C11.P3	C11	Plate-3	267	SF10	R. pallescens	N2		Veraguas	Forest	Veraguas	7/10/2017	CV-SIA	Kaylee, engorged; guts, salivary tissue with exoskeleton (no head or legs); flamed tools before guts, sal tissue not for microbiome		Guts and sailvary glands	4/30/2018	5/28/2018		267			Mammal	Yes	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens	Other			Yes	Single	Positive	Positive	yes	negative		Coinfection			
C12.P3	C12	Plate-3	268	SF10	R. pallescens	N2		Veraguas	Forest	Veraguas	7/10/2017	CV-SIA	Kaylee; engorged; guts, salivary tissue with exoskeleton (no head or legs); flamed tools before guts, sal tissue not for microbiome		Guts and sailvary glands	4/17/2018	5/28/2018		268			Mammal_Bird	No	Four	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Aves;Passeriformes;Thraupidae;Thraupis;sayaca	Aves;Passeriformes;Cardinalidae;Piranga;rubra	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis		Yes	Single	Positive	Positive	yes	negative		Coinfection			
D1.P3	D1	Plate-3	293	SF12	R. pallescens	Adult		Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	Nina; eggs in tube dissection; bead sterilizer before guts, salivary tissue not for microbiome	female	Guts and salivary glands	3/5/2018	4/13/2018		293			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum				Yes	Single	Positive					Tcruzi			
D2.P3	D2	Plate-3	294	SF12	R. pallescens	Adult		Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	NIna; bead sterilizer before guts, salivary tissue not for microbiome		Guts and salivary glands	3/5/2018	4/13/2018		294			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Single	Positive	Positive	yes	positive		Coinfection			
D3.P3	D3	Plate-3	295	SF12	R. pallescens	Adult		Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	Nian; eggs in tube dissection; bead sterilizer before guts, salivary tissue not for microbiome	female	Guts and sailvary glands	3/5/2018	4/13/2018		295			Mammal	Yes	Three	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens			Yes	Single	Positive					Tcruzi			
D4.P3	D4	Plate-3	296	SF12	R. pallescens	Adult	male	Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	Kaylee; engorged; collected surface microbes in separate tube for later extraction (fungi?); autoclaved tools before guts, salivary tissue not for microbime	male	Guts and salivary glands	4/9/2018	5/28/2018		296			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis					Yes	Single	Positive	Positive	yes	positive		Coinfection			
D5.P3	D5	Plate-3	297	SF12	R. pallescens	N5		Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	Nina; engorged; flamed tools before guts; salivary glands not for microbiome		Gut and salivary glands	3/20/2018	4/13/2018		297			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis					Yes	Single	Positive					Tcruzi			
D6.P3	D6	Plate-3	298	SF12	R. pallescens	N5		Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	Nina; engorged; tools flamed before guts; salivary glands not for microbiome		Gut and salivary glands	3/20/2018	4/13/2018		298			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Single	Positive	Positive	yes	negative		Coinfection			
D7.P3	D7	Plate-3	299	SF12	R. pallescens	N4		Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	Nina; engorged; tools flamed before guts; salivary glands not for microbiome		Gut and salivary glands	3/8/2018	4/13/2018		299			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis					Yes	Single	Positive	Positive	yes	positive		Coinfection			
D8.P3	D8	Plate-3	300	SF12	R. pallescens	N3		Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	Kaylee; dark guts and salivary tissue (feces); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary Glands	4/10/2018	5/28/2018		300			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Single	Positive	Negative	No	positive		Tcruzi			
D9.P3	D9	Plate-3	301	SF12	R. pallescens	N3		Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	Kaylee; dark guts and salivary tissue (feces); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary Glands	4/10/2018	5/28/2018		301			Mammal	Yes	Three	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens			Yes	Single	Positive	Negative	No	positive		Tcruzi			
D10.P3	D10	Plate-3	302	SF12	R. pallescens	N3		Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	Kaylee; engorged; flamed tools before guts, salivary tissue not for microbiome		Guts and salivary glands	4/10/2018	5/28/2018		302			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Negative	Negative	Negative	No	negative		Negative			
D11.P3	D11	Plate-3	303	SF12	R. pallescens	N3		Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	Kaylee; engorged; flamed tools before guts, salivay tissye not for microbiome		Guts and salivary glands	4/10/2018	5/28/2018		303			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Negative	Negative	Negative	No	negative		Negative			
D12.P3	D12	Plate-3	304	SF12	R. pallescens	N2		Veraguas	Peridomestic	Veraguas	7/10/2017	CV-SIA	Kaylee; guts, salivary tissue, flamed tools before guts and salivary tissue		guts and salivary glands	5/22/2018	5/28/2018		304			Mammal_Bird	No	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Aves;Passeriformes;Cardinalidae;Piranga;rubra			Yes	Single	Positive	Negative	No	positive		Tcruzi			
E1.P3	E1	Plate-3	341	SF6	R. pallescens	N1		Veraguas	Pasture	Veraguas	7/10/2017		Kaylee; guts, salivary tissue, flamed tools before guts and salivary tissue		Guts and Salivary Glands	5/27/2018	5/28/2018		341			Mammal	Yes	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis			Yes	Negative	Negative	Negative	No	negative		Negative			
